,category,copyright_or_license__information,description,download,language,last_updated,metadata,recorded,speakers,tags,video_origin,youtube_dislikes,youtube_likes,youtube_views,youtube_net_likes
0,PyCon AU 2014,http://www.youtube.com/t/terms,"""On the internet, fraudulent and abusive behavior is considered especially heinous. At Heroku, the dedicated detectives who investigate these vicious felonies are members of an elite squad armed with large amounts of data and spare CPU cycles. These are their stories.""
Bad behavior can wreak havoc on your web application. It might be mass-signups, fraudulent orders, spammy posts, right up to automated bots designed to work around restrictions you have set in place; this can cost you time, resources, and lots of money. All is not lost though. Despite the ongoing efforts of abusers, their activity still leaves fingerprints and clues, which you can use to your advantage.
This talk is a 101 introduction to some of the methods which you can use to separate good from bad users using a combination of data mining, statistics, and some some basic machine learning. Basically, I want to get you thinking like an internet detective.
Some of the topics I will be covering include:
As this is a 101 topic I will provide some basic examples, as well as links to more in-depth resources for further reading. I would recommend this talk to developers of web applications, especially those with a large number of users, the ability to process credit cards, or with a 'free' offering. Attendees should have a basic understanding of topics such as SQL, Pandas, and some basic understanding of mathematics and statistics, although this is not essential as I will be providing links to further reading.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Rhys Elsmore,,http://www.youtube.com/watch?v=_VO8QxIkjqY,0.0,1.0,117.0,1.0
1,PyCon AU 2014,http://www.youtube.com/t/terms,"Web APIs are how much of the modern web speaks - services speaking HTTP and JSON are ubiquitous, and nearly everything from your phone to your TV interacts with one of them. We'll go over how APIs are structured and versioned, why you should validate your data, and why you should have them in the first place -- and what other best practices are when creating them.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,HawkOwl,,http://www.youtube.com/watch?v=pXa4SV3E5JY,0.0,1.0,229.0,1.0
2,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"The question: How do I make my website fast?
If that sounds like a loaded question to you: good, we're on the same page.
In this talk I will give you a full overview of one of the most powerful and headache-inducing tools in the web-developer's kit: caching.
This is a talk for all experience levels, from beginner to seriously brain-melty. The code and scenarios we'll be exploring are within the context of a Django project, but the principles are applicable to all of web development.
We'll begin our journey in the light, warm land of web browser caches: learning how you can make your users' web browsers do all the work for you. Making your site feel rocket-fast and responsive with little more than some finely crafted HTTP response headers.
From there, we'll begin our descent into the underworld of server-level caching, using reverse-proxies such as Varnish or Nginx that shield the application code from having to do any work. What they do, how they can help, and more important -- when do they not help, and when do you have to go deeper.
Finally we'll explore the dark art of application-level caching. Whether it's caching whole responses, partial responses, preventing repetitive SQL queries or expensive API response serialization calls. And, if our brains haven't exploded yet, we might throw in some asynchronous cached-view-generation  just for good measure.
Whether you're a hobbyist or a grizzled veteran, you should come out of this talk with a few new tricks up your sleeve for making all your sites do more with less work.
Expect references from -- depending on mood -- Alice in Wonderland, The Matrix, or Dante Alighieri's ""Inferno"".",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Tom Eastman,,http://www.youtube.com/watch?v=bIWnQ3F1eLA,0.0,2.0,198.0,2.0
3,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Juan Nunez-Iglesias,,http://www.youtube.com/watch?v=qxKf7LGf7x8,1.0,0.0,86.0,-1.0
4,PyCon AU 2014,http://www.youtube.com/t/terms,"This is a talk about how OpenStack does database migration continuous integration, and how other projects might be able to learn from what we've done.
OpenStack is an interesting project in that it runs in a variety of different scale scenarios. There are very small deployments of only a few machines, and large public clouds with thousands of machines. The OpenStack project takes Continuous Integration (CI) very seriously, and runs a suite of unit and integration tests on all proposed patches.
One thing we weren't very good at testing though, was database upgrades. We have unit tests for many of them, but we don't know how these upgrades affect real users in the field. As a response, we worked on adding database migration testing to our CI environment. This new test infrastructure is open source (https://github.com/stackforge/turbo-hipster), and extensible. It currently runs tests on smaller databases, as well as a largish real user database. It has already caught two significant performance problems in database migrations.
This talk will cover how we built the test infrastructure (in python!). It will cover what we've learned from the 12 months of running it - time that we'll have had by the conference day. It will tell a story about some of the bugs we've found and how we fixed them.
..",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Joshua Hesketh,,http://www.youtube.com/watch?v=z_q5BaniZH0,1.0,0.0,98.0,-1.0
5,PyCon AU 2014,http://www.youtube.com/t/terms,"Modern Python developers depend on a large number of 3rd party packages. This in turn introduces a problem: how to manage those packages for rapid, reliable deployment in a world where the central repository - PyPi (the Cheese Shop) - is out of their control. Additionally, private packages may be developed which need to seamlessly be integrated into the deployment systems.
In this talk I will present devpi, a PyPI (Cheese Shop) server and packaging/testing/release tool. I will cover its reasons for existing, its many capabilities and configuration for some common scenarios.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Richard Jones,,http://www.youtube.com/watch?v=pZTiAkwiPgI,0.0,3.0,172.0,3.0
6,PyCon AU 2014,http://www.youtube.com/t/terms,"In prehistoric times, Python developers were faced with a confusing landscape of tools and conflicting advice when they wanted to package their Python modules for public release. As a result of all the distutils/distribute/setuptools changes over the last 5 years, there's lots of confusion about what you should do when preparing a package for distribution - and even some confusion about what the purpose of packaging is in the first place.
After a mammoth effort from a number of volunteers in the community, over several years, this situation is changing. It's taken a while, but the Python community has invented the wheel!
In this talk, we'll look at the process that has led to the development of the wheel format. But more importantly, we'll look at the steps you need to take when packaging a module of Python code for others to use, and get it on the Python Package Index (PyPI).",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Russell Keith-Magee,,http://www.youtube.com/watch?v=UtFHIpNPMPA,0.0,6.0,178.0,6.0
7,PyCon AU 2014,http://www.youtube.com/t/terms,"When your production web application breaks, working out what went wrong can be hard. Information from log messages and details of any Python exceptions which occurred, along with other application performance data can help to identify the issue, but not always. Often you will need to fall back to a development or test environment and hope you can replicate the problem and then debug the issue from there.
The purpose of this talk is to dive in and look at one class of tools that can be used in helping debug web applications. Specifically, it will look at web application tools such as the Django debug tool bar.
Rather than simply look at how you might use such a tool though, this talk will look at how these debug tool bars are actually implemented, how they hook into your web application, how they capture the information that they do, as well as how they can be extended to add new functionality.
The limitations on these tools as far as performance overhead, security of data etc, which nearly aways lead to them only being recommended for development environments, will also be discussed.
At the same time though, this notion that they are only suitable for development environments will also be challenged by looking at how a tool such as the New Relic Python agent, which implements application performance monitoring, overcomes such limitations to provide a production grade solution.
Are there lessons to be learnt from how the New Relic Python agent works which could drive improvements to existing web application debug tool bars? Could the New Relic Python agent itself be used as a base for a new generation of debug tool bars which combine an ability to debug a web application, even in a production environment, with the ability to monitor the performance of the web application over time?",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Graham Dumpleton,,http://www.youtube.com/watch?v=Yk5EE0Us0DE,1.0,0.0,100.0,-1.0
8,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Paul Leopardi,,http://www.youtube.com/watch?v=DxWHXQ-G7cc,0.0,2.0,90.0,2.0
9,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Jakub Krajcovic,,http://www.youtube.com/watch?v=e8Jui4EQbB8,0.0,2.0,102.0,2.0
